round,label,gr,exit_lag_rate,N_max,shape,aicc,loss,n_timepoints,converged,gr_loglin,gr_loglin_se,gr_max_sliding,t_exp_start,t_exp_end,doubling_time,R_squared,loglin_converged
5,Curve09711,,,,,,,0,False,,,,,,,,
5,Curve09712,,,,,,,0,False,,,,,,,,
5,Curve09713,,,,,,,0,False,,,,,,,,
5,Curve09714,,,,,,,0,False,,,,,,,,
5,Curve09715,,,,,,,0,False,,,,,,,,
5,Curve09716,,,,,,,0,False,,,,,,,,
5,Curve09717,,,,,,,0,False,,,,,,,,
5,Curve09718,,,,,,,0,False,,,,,,,,
5,Curve09719,,,,,,,0,False,,,,,,,,
5,Curve09720,,,,,,,0,False,,,,,,,,
5,Curve08873,1.580558006813232,0.008772546119779,0.083000700509386,48.21895169018667,-1549.0768694388237,1.6331544192509184e-09,90,True,0.002072049601488844,0.0002730778923346539,0.002714049041939131,2.0,6.0,334.52248443371894,0.8915974168926776,True
5,Curve09377,0.4427300736962032,0.000386367337415,1.2333670769402472,1.8967382100313763,-348.81696663394075,0.0018723019461131,87,True,0.39004068506438255,0.005274278468541963,0.3977068411015047,21.5,25.0,1.7771150731250769,0.9989040737612319,True
5,Curve11107,0.3664649517875716,7.218111280444068e-05,1.2395205766867436,29.21925652267325,-424.0495816072802,0.0038883088423531,91,True,0.3801473757872763,0.008214860466570094,0.39308099784773937,29.0,32.5,1.8233643705272295,0.997205960736535,True
5,Curve10535,0.2371012940562675,0.0008923909481777,1.1939800489207153,16.18034134411259,-424.4429099569374,0.0041511706157976,92,True,0.28281520167143365,0.007749124058084742,0.29419084654690664,32.5,36.0,2.450883744803871,0.9955156544335736,True
5,Curve09045,0.4010176066251443,0.0004150076902044,0.882284766453134,4.95522110970142,-335.5454023929263,0.0021203631668026,90,True,0.36196598054556944,0.01201498738681701,0.3879673683124361,22.5,26.0,1.9149511772217003,0.9934324900732693,True
5,Curve10699,0.4245025920411842,2.295234697825905e-05,1.2643866810886608,2.1021075387691672,-497.02478202855696,0.0014021642495028,90,True,0.37811257526320885,0.0053447302477290185,0.386252290068167,28.5,32.0,1.83317674657458,0.9988025972463164,True
5,Curve10943,0.2601219664567867,0.0004321755607303,0.8643878573967899,18.26788009007725,-434.37429589467627,0.0036607814095962,92,True,0.2195877923072252,0.0008230681891986488,0.22036565780761838,30.0,33.5,3.1565834023694874,0.9999157111959646,True
5,Curve10215,0.3786800980885024,0.0001349262221732,1.2305735434554377,3.217666779124612,-425.7307665348386,0.0016738563474201,91,True,0.3267304155063015,0.002706043536766365,0.33111117817677976,26.5,30.0,2.1214651212861355,0.9995886012437328,True
5,Curve09126,0.2906449356398257,0.0012331988851051,1.5040184955052798,0.9968221632460492,-438.5324818251096,0.0034730784414073,92,True,0.22414394780107086,0.012065347656504927,0.25832245831213296,21.0,24.0,3.0924197925483035,0.9857193189423301,True
5,Curve11356,0.3617079522958424,0.0004720363122403,1.334106743442198,2.7250742825026526,-381.4881050975525,0.0020313405948781,90,True,0.35713871652563167,0.004038503227748831,0.3620269414648647,24.5,28.0,1.9408346070768232,0.9992333711096574,True
5,Curve11275,0.366537223139966,0.0001770536770979,1.3527329960692756,3.2939751598588987,-448.87349056579546,0.0026204822953583,90,True,0.36227017796944966,0.007234058923016481,0.37380261805047893,27.0,30.5,1.9133431971825143,0.9976132201599773,True
5,Curve10126,0.4616425587543009,2.485153167280888e-05,1.479934476246768,1.618564189052112,-512.7199110175766,0.0013579279576389,92,True,0.3977877543988338,0.008268687065473953,0.41143031171997035,27.0,30.5,1.7425050743642938,0.9974141871776661,True
