round,label,gr,exit_lag_rate,N_max,shape,aicc,loss,n_timepoints,converged
1,Curve01485,0.2636759201820604,0.139572312127255,0.3246665822519234,2.6377649170757467,-344.5751281336498,2.1414659239266727e-5,46,true
1,Curve00089,0.20438660654472984,0.48627073911555646,0.33119185685847347,3.7463084158256548,-316.56642345800634,2.626419422952871e-5,44,true
1,Curve02141,0.2605845396946643,0.22006587992507207,0.3316388510662195,2.7055757369741933,-332.6046459989404,1.5655848574407978e-5,44,true
1,Curve02388,0.28522010192351455,0.23633304139751232,0.33950513823927847,2.7108415739746605,-296.54736580530107,5.0098077232474295e-5,44,true
1,Curve00747,0.24553073193080588,0.2628995004337708,0.332731527108953,3.4397358475270536,-333.38854606680064,5.473146641500492e-5,48,true
1,Curve02305,0.2836771253721905,0.19782092731799988,0.33866800912678163,2.512788944256021,-312.11171642107695,2.1365696684819362e-5,43,true
1,Curve01158,0.2540699582521435,0.3336953942219188,0.3473183610397359,2.6565469647466085,-308.0588705848887,1.6894257835892957e-5,42,true
1,Curve00584,0.24817286633481,0.2366072899238299,0.3219308089516179,3.085626003746631,-366.52670094202443,2.1234651953740065e-5,48,true
1,Curve00664,0.16853369072813296,0.133046612903688,0.3725959584184561,3.902007714706799,-309.8545504051863,0.00010721526913627111,48,true
1,Curve01896,0.27218306270168946,0.2735426878285553,0.3486187282579031,2.343809487961792,-276.7911470689609,1.5589853501637238e-5,91,true
1,Curve02550,0.3195953321909875,0.1381608940925752,0.34203321566653483,2.244362243170335,-331.5078272041142,2.2960505166172457e-5,45,true
1,Curve01732,0.256655844679387,0.23398660038523675,0.3335444980250324,3.0597549988336343,-294.8360954553937,2.6653795327318825e-5,42,true
1,Curve00254,0.25963410098988904,0.21246849325799297,0.32330437644081206,3.239469991061267,-329.6517511532533,4.5675017729556e-5,47,true
1,Curve01322,0.27611532786637233,0.23252694575588,0.34813379786691045,2.7418994772271077,-347.64361096222274,3.642120754988851e-5,48,true
1,Curve01567,0.2591602104262203,0.2206809890523832,0.3329285765557504,2.6610890764757062,-303.3065412597005,1.3463969630610997e-5,41,true
1,Curve00994,0.38553309353077025,0.05930734945751716,0.33936736047908944,2.2440322120513865,-338.37530942548966,8.158988808266476e-5,50,true
1,Curve00173,0.20801326690076882,0.6835750167859291,0.3349153334582216,4.040394540618161,-312.239588861707,4.192607806120556e-5,45,true
1,Curve01405,0.23323981751656642,0.3047340969428374,0.351917236254897,3.8399859807458867,-315.57917995857235,9.103807540796474e-5,48,true
1,Curve01241,0.2802424289298896,0.20977299426015422,0.3446062181010711,2.53287592811417,-316.86870161978663,1.8232769625938183e-5,43,true
1,Curve01649,0.27843586565088624,0.1894540332812261,0.34362834835423567,2.7675610620861972,-283.0688727669352,2.7737660538722798e-5,41,true
1,Curve01075,0.25500925181579087,0.21370004514987034,0.3263805644343045,2.708856917507161,-307.72978606698524,1.7087061388567397e-5,42,true
1,Curve00090,0.22041932056155122,0.42334988445703464,0.3387413747281855,3.2369287440446426,-315.6485367805104,2.7053484746383177e-5,44,true
1,Curve00829,0.29448363375974007,0.17345549644318314,0.3517001877598242,2.664130159834376,-304.6937653938098,2.7359168781615742e-5,43,true
1,Curve00912,0.2786287451102356,0.21691694839424183,0.34107723858116307,2.6492014275058025,-307.5067438546773,2.491040936270241e-5,43,true
