round,label,fit_status,gr_loglin,gr_loglin_se,gr_max_sliding,t_exp_start,t_exp_end,doubling_time,R_squared,lag_loglin,N_max_emp,loglin_converged
3,Curve05756,fitted,0.19113300035852812,0.011509913798344784,0.23788775042845633,7.0,10.0,3.6265175519650543,0.9821910318893458,6.701569225629439,0.33257142857142863,True
3,Curve05757,fitted,0.1963381384252439,0.01079934345819459,0.2368235841218348,7.0,10.0,3.5303746186014817,0.9850983295023122,6.643664531585957,0.3330000000000001,True
3,Curve05758,fitted,0.2020702461873788,0.010501918701715778,0.23941548384747993,7.0,10.0,3.430228812198275,0.9866747131963459,6.653723097211012,0.331,True
3,Curve05759,fitted,0.24399222284594804,0.02390742880237737,0.2825153062520479,7.0,10.0,2.8408576817531803,0.9541941920265185,6.83923872637405,0.37700000000000006,True
3,Curve05760,fitted,0.20293737814395407,0.01110204676278836,0.24272773767090453,7.0,10.0,3.4155717734180038,0.9852564754794491,6.657724195655621,0.33057142857142857,True
3,Curve05761,fitted,0.1951090749310946,0.010244744256674269,0.23385763023116152,7.0,10.0,3.552613740825431,0.986402116902444,6.649867839934164,0.33000000000000007,True
3,Curve05762,fitted,0.19245567145903444,0.011113890322815378,0.2364225549561721,7.0,10.0,3.6015939426731136,0.9835994256822979,6.712239117459591,0.3361428571428572,True
3,Curve05763,fitted,0.19556258364879847,0.009945927220511137,0.233203366315305,7.0,10.0,3.5443752461602536,0.9872324244462428,6.683876033687199,0.33099999999999996,True
3,Curve05764,fitted,0.19769095494883013,0.010442121612914638,0.23811340185332805,7.0,10.0,3.50621595580515,0.9862419347705473,6.671293859121346,0.3328571428571429,True
3,Curve05765,fitted,0.18635067039502293,0.019449396292552986,0.2559950197032097,6.5,9.5,3.719585119230448,0.9483478954980947,6.444630415023475,0.3315714285714286,True
3,Curve05766,fitted,0.2051155678035652,0.010453035905807338,0.23990428013830392,7.0,10.0,3.3793006936643515,0.9871809917819916,6.5955184794324655,0.33671428571428574,True
3,Curve05767,fitted,0.1904952127311891,0.010933799560939487,0.23361310653122072,7.0,10.0,3.638659316536508,0.9837950123305397,6.721399353174091,0.33171428571428574,True
3,Curve05768,fitted,0.19621862055260383,0.010814742975348431,0.2373311625768886,7.0,10.0,3.5325249897683433,0.9850384986127285,6.700597713658159,0.335,True
3,Curve05769,fitted,0.20045061222351282,0.011962145838152643,0.23492931351014196,7.0,10.0,3.4579449415053434,0.9825052280368876,6.728019840395621,0.33142857142857146,True
3,Curve05770,fitted,0.20279354757754955,0.010494103524875098,0.23876290737593991,7.0,10.0,3.4179942549448294,0.9867877681839933,6.659943849312718,0.3372857142857143,True
3,Curve05771,fitted,0.20460445728156834,0.009571107950960006,0.23781500324076588,7.0,10.0,3.387742328633947,0.9891772316257057,6.620932415401585,0.334,True
3,Curve05772,fitted,0.20901649857024937,0.00995734087175093,0.24207500193807668,7.0,10.0,3.316231901794021,0.9887799378289425,6.641825937396844,0.3374285714285715,True
3,Curve05773,fitted,0.19613332409331968,0.009378391027620033,0.22952687753492756,7.0,10.0,3.5340612502450006,0.9886971701297698,6.675102803196396,0.3334285714285715,True
3,Curve05774,fitted,0.206829863427617,0.015117299976263448,0.2469648825481429,7.0,10.0,3.3512915836862303,0.9739838089397667,6.789796392997637,0.338,True
3,Curve05775,fitted,0.20062176495727557,0.00943675117344042,0.23546267342960758,7.0,10.0,3.454994928927866,0.989058399496298,6.608933430786385,0.3325714285714286,True
3,Curve05776,fitted,0.2190096505760201,0.017335629308317987,0.25877086525884435,7.0,10.0,3.164916152036634,0.9696243054688022,6.798965106313077,0.338,True
3,Curve05777,fitted,0.21712251581315098,0.012768829187816015,0.24745350014377376,7.0,10.0,3.1924242309187623,0.9830012685758907,6.699839014529023,0.33428571428571435,True
3,Curve05778,fitted,0.1904754519830969,0.018192447648051467,0.2587383858156757,6.5,9.5,3.6390368068083454,0.9563781680798326,6.4535037953964665,0.3435714285714286,True
3,Curve05779,fitted,0.1891698024339138,0.009899992517421572,0.22938015448575466,7.0,10.0,3.6641534306306385,0.9864908145901597,6.675500900676095,0.3365714285714286,True
3,Curve05780,fitted,0.19166230444059365,0.011851753540983629,0.23691440047042622,7.0,10.0,3.616502382057023,0.9812398208609311,6.775398718790741,0.34114285714285714,True
3,Curve05781,fitted,0.20509427440607852,0.009689356197115882,0.23934351843971943,7.0,10.0,3.3796515410641907,0.988963458019928,6.642447591567935,0.33442857142857146,True
3,Curve05782,fitted,0.2029756737772705,0.010779610443965974,0.24460075979616797,7.0,10.0,3.414927353908185,0.986093865961116,6.6811880064144376,0.3378571428571429,True
3,Curve05783,fitted,0.19153672010717745,0.016238942290626675,0.25115226268733015,6.5,9.5,3.6188736038295093,0.9653066153536187,6.401741706451846,0.334,True
3,Curve05784,fitted,0.2160080233643082,0.010342501576611792,0.24867177973987942,7.0,10.0,3.2088955297318673,0.9886673462263535,6.616226173409105,0.3402857142857143,True
3,Curve05785,fitted,0.19353316650583846,0.01780368000382174,0.2620157666270099,6.5,9.5,3.5815420843591403,0.9594042654377807,6.456379891997032,0.3519999999999999,True
