parameter,compound,imp_old,rank_old,imp_new,rank_new,rho_old,rho_new
lag,H3BO3_(mM),0.0150283925960347,13,0.0177373258921736,9,-0.3243204143892765,0.3579036609059993
lag,Histidine/HCl/H2O_(mM),0.0548030955616867,7,0.0058516272881898,27,0.181050516026034,-0.1539052027941563
lag,Isoleucine_(mM),0.1150405410364002,3,0.015458130701752,10,0.3002932384132472,-0.3040037373711111
lag,K2HPO4_(mM),0.1175005996258149,2,0.0474904042709377,5,-0.149569904743391,0.1265417957458158
lag,KCl_(mM),0.003467821016944,33,0.019313343343939,7,-0.2690636177861474,0.3069972826886722
lag,KH2PO4_(mM),0.119700207823223,1,0.1841365736008705,2,0.3668229822205884,-0.3684161202910276
lag,Leucine_(mM),0.0069929846484336,23,0.0776625906019455,3,-0.3918345206648753,0.4135146284877743
lag,Lysine/HCl_(mM),0.0049642059648472,29,0.003232159400638,30,-0.0915370673180714,0.0699999443195297
lag,Methionine_(mM),0.0099080759456305,19,0.0089570132958659,19,0.2881900006981764,-0.2876334716151171
lag,MgCl2/6H2O_(mM),0.0013139851572023,41,0.0095424871041973,17,-0.0949335473120452,0.0819526129265786
lag,MgSO4/7H2O_(mM),0.1032212249032933,4,0.0091113096469047,18,-0.6572880147858033,0.7032560274744071
lag,NH4Cl_(mM),0.0095116150658278,20,7.022090134988632e-06,43,-0.0662156561130253,0.035419211347717
lag,Na2HPO4_(mM),0.0572954883100708,6,0.0012760236774002,37,0.1671337814806395,-0.1621124679144231
lag,Na2MoO4/2H2O_(mM),0.0087334111165187,21,0.002462713080821,34,-0.0975199057806317,0.0740298831546565
lag,Na2S2O3/5H2O_(mM),0.0032784432649133,34,5.476809771938738e-06,44,0.4118869644252868,-0.4391461872101788
lag,Na3C6H5O7/2H2O_(mM),0.004136976608598,32,0.0022761692180215,36,-0.6221832465369691,0.6201451137152872
lag,NaCl_(mM),0.0006809567306301,44,0.0055935073049599,29,-0.3738210247598194,0.3465156209703293
lag,Phenylalanine_(mM),0.0530386793336192,8,0.0056953466705841,28,-0.1904720294861759,0.2323551294032425
lag,Proline_(mM),0.0061930173569791,26,0.009972220169016,16,-0.136388455076914,0.1161153710876552
lag,Pyridoxine_(mM),0.0010631152577887,43,0.0069572017247553,24,0.2129475810621179,-0.2005880201016283
lag,Riboflavin_(mM),0.0012260925368906,42,0.0006404886508045,38,-0.1547435811086095,0.1352397825760568
lag,Serine_(mM),0.0135368610404791,15,0.3496317519272994,1,-0.3780755669505887,0.4112924151161186
lag,Thiamine/HCl_(mM),0.0018932593424053,40,0.0179399024265671,8,-0.19774405869296,0.238422516920531
lag,Threonine_(mM),0.0060612027843744,28,0.0031741532095763,31,-0.2296070839660945,0.2354597156354423
lag,Tryptophan_(mM),0.0022908284503308,37,0.0074243933094098,21,-0.269070629671851,0.3098744766632158
lag,Tyrosine_(mM),0.0078209544962516,22,0.006919350055071,25,-0.6501061710148316,0.6606188320999175
lag,Valine_(mM),0.0063016085127239,24,0.0103678386615284,15,-0.1340415145123069,0.1197142521226237
lag,ZuSO4/7H2O_(mM),0.0354479034325902,10,0.0491469311077081,4,0.2636155063977136,-0.2946445166752209
N_max,(NH4)2SO4_(mM),0.0193688231103247,10,0.0007817215663112,21,-0.4241983220041438,-0.4150144278319463
N_max,Alanine_(mM),0.0048205092542532,24,0.0002700345885349,25,0.8014071145478974,0.7801105350223154
N_max,AminobenzoicAcid_(mM),0.0053830633560257,22,0.0017572292141523,16,0.1752178426538668,0.2008428893623006
N_max,Arginine/HCl_(mM),0.0004488998531993,44,0.0020189961154036,14,0.6208038184581944,0.6060538860083895
N_max,Asparagine/H2O_(mM),0.0080963655014245,18,1.604475239976834e-05,42,-0.097490501614402,-0.1300919177221671
N_max,AsparticAcid_(mM),0.0035943920260219,32,5.130638474187516e-05,39,-0.2621461121336307,-0.2908850564409685
N_max,CaCl2/2H2O_(mM),0.007728774435185,19,0.0001833294583998,30,0.1108014398171867,0.0724593663698076
N_max,CaSO4/2H2O_(mM),0.0105510330937933,15,0.0001516143080537,31,-0.2924107179058647,-0.3195488577772833
N_max,CuSO4/5H2O_(mM),0.0041758852740139,27,0.0006929053289583,22,0.7579805456660479,0.7491786733754436
N_max,Cystine/HCl/H2O_(mM),0.0010016106281497,40,9.721283956775943e-05,33,-0.5832277351519123,-0.5687047065633385
N_max,FeSO4/7H2O_(mM),0.0140103690627423,13,0.0189965808860518,4,0.7765211015253395,0.7693026053681961
N_max,FolicAcid_(mM),0.0208367591823413,9,8.01550502635281e-05,36,-0.74916925857169,-0.7410694935324139
N_max,Glucose_(mM),0.0314929022326923,8,0.8498884368562728,1,0.8231314157958137,0.8179202570116599
N_max,GlutamicAcid/HCl_(mM),0.0039812194703763,30,0.0002647040244189,27,0.8108559467998429,0.7902149490696952
N_max,Glutamine_(mM),0.0016353460776523,38,0.0002164355645862,28,0.6687900241889569,0.6427638657034117
N_max,Glycine_(mM),0.0046849104477492,25,7.388320527220845e-06,44,-0.4847671950078362,-0.4989127629140608
N_max,H3BO3_(mM),0.004142411444801,29,7.136268145213425e-05,37,-0.10486029172141,-0.1379457950786342
N_max,Histidine/HCl/H2O_(mM),0.0541903687142212,6,5.474395534044554e-05,38,-0.544582660918799,-0.5277673200078277
N_max,Isoleucine_(mM),0.0159843765993194,12,0.0024601122139015,11,-0.1782039817405085,-0.1491088271954887
N_max,K2HPO4_(mM),0.0534511764828999,7,0.0027220288185353,10,0.5824896556003677,0.5939737439519672
N_max,KCl_(mM),0.0009739794388611,41,9.693408441596967e-05,34,-0.0605801311545384,-0.0965756283096145
N_max,KH2PO4_(mM),0.0099971093804553,16,0.0006685882807225,23,-0.0822235894279849,-0.0548027940337037
N_max,Leucine_(mM),0.0090917100096115,17,0.0339250554629634,2,0.1278801933307624,0.0922132438911137
N_max,Lysine/HCl_(mM),0.0028011386931006,37,0.0123211794393627,6,0.6184148638883009,0.6218054050899948
N_max,Methionine_(mM),0.0006771534054233,43,0.0009898748091083,20,-0.1973311789097643,-0.1708002593441428
N_max,MgCl2/6H2O_(mM),0.2008228195166936,2,0.0043195000183171,8,0.605359121440905,0.5754953969485094
N_max,MgSO4/7H2O_(mM),0.0644833948291413,4,0.0016548269027541,17,0.0987515487968404,0.0724586929721123
N_max,NH4Cl_(mM),0.0164087728544465,11,0.0023803112946072,12,0.5977801693794171,0.6015213942099715
N_max,Na2HPO4_(mM),0.012652762223151,14,0.0006025357730797,24,-0.6002208641884248,-0.574483435206294
N_max,Na2MoO4/2H2O_(mM),0.0041609513660397,28,0.001867090534992,15,0.6123388107580564,0.6160061236596511
N_max,Na2S2O3/5H2O_(mM),0.0076771792678173,20,0.0021103044973412,13,0.0042017292172115,0.0326866499238758
N_max,Na3C6H5O7/2H2O_(mM),0.059539085724455,5,0.0326943316629073,3,0.604624543443058,0.6019259203185277
N_max,NaCl_(mM),0.0042062761627999,26,0.0002686164090639,26,0.682524446907534,0.68333206136573
N_max,Phenylalanine_(mM),0.0030635568844932,35,8.05788804359036e-06,43,-0.3242251560880383,-0.3230329898755557
N_max,Proline_(mM),0.005757693215326,21,0.0013553797034321,19,0.6253480947720307,0.5989886582555684
N_max,Pyridoxine_(mM),0.0006813586048548,42,3.236835099825062e-05,41,-0.1253698708535523,-0.1480481547799056
N_max,Riboflavin_(mM),0.0895089002273597,3,0.0001476860169508,32,0.6347832990698111,0.5965519309949381
N_max,Serine_(mM),0.0036149831684906,31,0.0001989860012167,29,0.1063508051537237,0.0662288299266572
N_max,Thiamine/HCl_(mM),0.0048800833269954,23,8.29888395487199e-05,35,-0.2688922576541592,-0.2965139586803792
N_max,Threonine_(mM),0.0010967764479177,39,0.00414705815831,9,0.2947014006644233,0.3000228683046531
N_max,Tryptophan_(mM),0.0031271462703968,34,4.2602555351845887e-05,40,-0.0548968646183428,-0.0903051819012575
N_max,Tyrosine_(mM),0.0028778186279106,36,0.004400172252575,7,0.6595378239690339,0.6332592252699449
N_max,Valine_(mM),0.2189663570137532,1,0.0134367942621643,5,0.6151041381623512,0.5774965853358988
N_max,ZuSO4/7H2O_(mM),0.0033537970933175,33,0.0014664138738986,18,0.3385286732239442,0.3569652495439682
