ConditionID,"(NH4)2SO4
(mM)","Alanine
(mM)","AminobenzoicAcid
(mM)","Arginine/HCl
(mM)","Asparagine/H2O
(mM)","AsparticAcid
(mM)","CaCl2/2H2O
(mM)","CaSO4/2H2O
(mM)","CuSO4/5H2O
(mM)","Cystine/HCl/H2O
(mM)","FeSO4/7H2O
(mM)","FolicAcid
(mM)","Glucose
(mM)","GlutamicAcid/HCl
(mM)","Glutamine
(mM)","Glycine
(mM)","H3BO3
(mM)","Histidine/HCl/H2O
(mM)","Isoleucine
(mM)","K2HPO4
(mM)","KCl
(mM)","KH2PO4
(mM)",K_ref,"Leucine
(mM)","Lysine/HCl
(mM)","Methionine
(mM)","MgCl2/6H2O
(mM)","MgSO4/7H2O
(mM)","NH4Cl
(mM)",N_max,"Na2HPO4
(mM)","Na2MoO4/2H2O
(mM)","Na2S2O3/5H2O
(mM)","Na3C6H5O7/2H2O
(mM)","NaCl
(mM)","Phenylalanine
(mM)","Proline
(mM)","Pyridoxine
(mM)","Riboflavin
(mM)","Serine
(mM)","Thiamine/HCl
(mM)","Threonine
(mM)","Tryptophan
(mM)","Tyrosine
(mM)","Valine
(mM)","ZuSO4/7H2O
(mM)",exit_lag_rate,gr,r_ref,shape
Cond00040,1.0,0.02,0.001,0.02,0.02,0.2,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.2719888888888887,0.02,0.02,0.02,0.1,0.1,1.0,0.3502108616914281,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.5630118790535108,0.2191042645138594,1.3165801281966416,3.4065934501147614
Cond00041,1.0,0.02,0.001,0.02,0.02,2.0,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.3536277777777779,0.02,0.02,0.02,0.1,0.1,1.0,0.43063626561059765,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.5430665863664786,0.2508671894561771,1.2389054531956745,2.87283650490617
Cond00042,1.0,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.0,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.2427944444444445,0.02,0.02,0.02,0.1,0.1,1.0,0.3193213887391491,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.29928413398646236,0.22639557318534662,1.182721689789797,3.5285759005878092
Cond00043,1.0,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.002,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.24698888888888865,0.02,0.02,0.02,0.1,0.1,1.0,0.3216031090779876,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.2607231091415991,0.2459076211262623,1.2784763219563844,3.258490481568554
Cond00044,1.0,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.2,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.24029444444444437,0.02,0.02,0.02,0.1,0.1,1.0,0.3199065164312698,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.21334486504497846,0.20394902216905786,1.119823860020934,3.083125417459394
Cond00045,1.0,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,2.0,0.0005,5.0e-5,2.0,0.02,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.2547666666666668,0.02,0.02,0.02,0.1,0.1,1.0,0.31938889231494794,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.06591206788746107,0.23051454169345517,0.8653750515984776,3.942714664484024
Cond00046,1.0,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.0,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.2552388888888886,0.02,0.02,0.02,0.1,0.1,1.0,0.3301904041667607,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.4143610842446242,0.22410553579245537,1.2971328538769809,3.606756972748016
Cond00047,1.0,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.002,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.2658500000000002,0.02,0.02,0.02,0.1,0.1,1.0,0.3467520619985564,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.48964953318084437,0.2462847442583041,1.2299328798075484,3.0957361307045894
Cond00048,1.0,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,0.2,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.27362777777777786,0.02,0.02,0.02,0.1,0.1,1.0,0.336619389058702,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.10964031583157188,0.29671082374339774,1.0650883071644885,2.671623532643656
Cond00049,1.0,0.02,0.001,0.02,0.02,0.02,0.01,0.005,1.0e-5,0.02,0.0005,5.0e-5,2.0,2.0,0.02,0.02,0.008,0.02,0.02,61.5,0.2,22.0,0.2985722222222222,0.02,0.02,0.02,0.1,0.1,1.0,0.3715106544472744,42.3,0.001,0.5,0.02,0.1,0.02,0.02,0.002,0.0005,0.02,0.001,0.02,0.02,0.01,0.02,0.0001,0.08275810348392747,0.2639725983536457,1.051735511275737,3.835098564080243
