label,gr,exit_lag_rate,N_max,shape
Curve01409,0.23142636081780868,0.3015240775902448,0.3610148341059518,3.6600607117704547
Curve00587,0.2335755928425251,0.27821155337014825,0.31380612303815925,3.561164483793036
Curve02145,0.2966260390144495,0.17828189893817603,0.3422125463862454,2.3846363407250606
Curve01735,0.2646074984100093,0.22324088577815382,0.3303697189601597,2.693145858932479
Curve00750,0.2490971722558417,0.2893187580003765,0.33830261356332675,3.3226384604202415
Curve00832,0.2994986979101568,0.1632120147521057,0.3535320147008914,2.403356141208744
Curve02474,0.2806698792327475,0.20593224128614881,0.3354929047316393,2.5755853704828957
Curve01815,0.2963253230805556,0.20637481448580525,0.34780111836885863,2.248589700908757
Curve01326,0.241975254959143,0.31187294170970825,0.340914838845233,3.4027545524934886
Curve01162,0.2408237908381352,0.3899343046058822,0.34172429649575486,2.987318361711476
Curve01981,0.23230787147836734,0.34462695005356275,0.3349325243450147,3.446502443924031
Curve00177,0.23115110671622968,0.6028277916323364,0.34101414382808126,3.7512248491790245
Curve01652,0.25611018944978037,0.21787220955560868,0.3407440209489248,2.9387111927288543
Curve00667,0.45815379220423286,0.029802830145798202,0.3858758025921399,1.8915099213412738
Curve01900,0.23337849989568188,0.321294886825745,0.3365657046585212,3.3469196822764644
Curve00093,0.19630738962514216,0.5986067601263831,0.3280306997405556,4.028526025016092
Curve01078,0.27610190248643035,0.20867491115694314,0.3352061895110335,2.5191297662513135
Curve00258,0.2518348365462419,0.24941989207056345,0.32299420978060844,3.323173058873472
Curve02309,0.2762791091962975,0.21878544721743048,0.3361702275547122,2.6340955876387846
Curve01736,0.29609271567434325,0.22553524570311886,0.3427107539185686,2.479625385349505
Curve01571,0.27329698125907903,0.21284481524120966,0.3303745614685136,2.586981515028335
Curve01410,0.26125318742518394,0.26318371603975227,0.38458754712337256,2.638783379104241
Curve01245,0.3266719008373672,0.2172839997954629,0.3548537616279337,2.188923969688639
Curve00998,0.5889472334274074,0.02200169374651566,0.4237392467047592,1.7176306987521825
Curve02062,0.2764393110827034,0.20762213379988434,0.332286832420461,2.563928872120454
Curve00003,0.00028297689267063456,0.00018657117832392514,0.08199999998847482,2.7598015772329205e-5
Curve02475,0.26207969126209113,0.24006453263990613,0.33450392212268454,2.7530269168623147
Curve02226,0.27335461440996384,0.22800671200757203,0.3580514946418262,2.6702661484309527
Curve01163,0.23367546428741545,0.36153711085774315,0.33931455764359425,3.0138306842790397
Curve02555,0.3029022312677616,0.17578031206687986,0.3343154201632618,2.4026672339550244
Curve01982,0.23972263364359797,0.31702268296855246,0.3396863674096909,3.1653686806577697
Curve02146,0.27675110584924634,0.1991548476775284,0.3321896786759333,2.6875580948012487
Curve00915,0.3075073325727552,0.1881451320502014,0.3561384036856888,2.6265765538758914
Curve00833,0.24819716625933486,0.24256948351793672,0.33170613143609523,2.9435006792856555
