label,gr,lag_loglin,N_max_emp
Cond00129,0.23488197354895804,6.275079410253458,0.3398095238095238
Cond00130,0.1961782501760101,5.956011983351117,0.3376904761904762
Cond00131,0.19290523686351466,5.641886482044151,0.3409166666666666
Cond00132,0.20346619589796897,5.979498816794394,0.3442857142857143
Cond00133,0.18974241651976195,6.8544997034399,0.3517142857142857
Cond00134,0.18483384859517596,5.795379309202636,0.3086904761904762
Cond00135,0.19324870884406567,5.840363918283798,0.3271904761904762
Cond00136,0.2139377409822086,5.790902117923398,0.3473095238095238
Cond00137,0.20012392165939555,5.843438412994879,0.34415476190476185
Cond00138,0.20569159754655117,6.213845098077353,0.3446428571428571
Cond00139,0.19594373310831611,6.21205355855517,0.3281904761904762
Cond00140,0.19940387982068186,6.271947107670287,0.3300238095238095
Cond00141,0.20306451874700862,6.238955264635603,0.34215476190476185
Cond00142,0.20151435264179732,6.167637370113979,0.33411904761904765
Cond00143,0.1920655306489145,5.788832633596769,0.33567857142857144
Cond00144,0.18477065673411078,5.816860368518294,0.33621428571428574
Cond00145,0.18397790406909387,5.8076228167366715,0.3374761904761905
Cond00146,0.20275826591901935,6.265533952557245,0.3380595238095238
Cond00147,0.19220142670357374,6.039307212106256,0.34022619047619046
Cond00148,0.2004806616100149,6.27535352650914,0.3409761904761905
Cond00149,0.2000584230450492,6.187736616047591,0.34722619047619047
Cond00150,0.20630237879158675,6.239176509713427,0.33916666666666667
Cond00151,0.20576609309188665,6.2194356504915165,0.33636904761904757
Cond00152,0.21150620537388828,6.254985767141953,0.3488928571428571
Cond00153,0.21274640156112898,6.218085947770877,0.3566428571428571
Cond00154,0.2072584989562981,6.522990062784846,0.3428928571428571
Cond00155,0.21042990052843183,6.226978434494071,0.35657142857142854
Cond00156,0.20441787558478997,6.209442151318182,0.34422619047619046
Cond00157,0.20866756766227212,6.247077850434228,0.3457261904761904
Cond00158,0.19683694217738346,6.284031012880196,0.33609523809523806
Cond00159,0.2022079371131532,6.202391745724378,0.3460714285714286
Cond00160,0.20927429921410887,6.217702023505112,0.34311904761904755
Cond00161,0.21139262994851904,6.246118146036374,0.35317857142857134
Cond00162,0.20210924736102323,6.159479318640128,0.3435238095238095
Cond00163,0.20385793683200845,6.184176138768119,0.33727380952380953
Cond00164,0.20730166382851264,6.198565997822182,0.3358333333333334
Cond00165,0.20908755936214227,6.163971928872841,0.34209523809523806
Cond00166,0.20793067497879777,6.145815323140048,0.33809523809523806
Cond00167,0.21309117604864536,6.148945071617181,0.34051190476190474
Cond00168,0.20488339806903777,6.173492937899681,0.33825
Cond00169,0.20281129190727246,6.133032521883599,0.3442619047619047
Cond00170,0.2040352519823139,6.199781044943389,0.34082142857142855
Cond00171,0.2083347788624985,6.164355352500124,0.3423214285714286
Cond00172,0.20602081020562504,6.159254329907372,0.34310714285714283
Cond00173,0.20586015911969535,6.464213573675526,0.3412380952380952
Cond00174,0.20831192730478462,6.107921413636781,0.3375357142857143
Cond00175,0.207031289690646,6.049199612850175,0.3397738095238095
Cond00176,0.20760440385367976,6.029337626547601,0.35053571428571423
Cond00177,0.1922994312578504,6.0798304618170524,0.34480952380952373
Cond00178,0.0013115761187473857,16.88895553262548,0.08340816326530606
Cond00179,0.13916087149992354,8.262816095230358,0.20059632034632033
Cond00180,0.13898873757014743,8.412604557652605,0.20595238095238091
Cond00181,0.13677973720159772,8.993986568124924,0.20580952380952378
Cond00182,0.12268474369793465,9.638342978897798,0.20246428571428568
Cond00183,0.13780278840757135,7.663456547539947,0.2064166666666666
Cond00184,0.13052043356407747,8.583882276603694,0.2042738095238095
Cond00185,0.12739459046407386,8.951434396465485,0.18807142857142856
Cond00186,0.11165611031750143,10.384878579876494,0.18774999999999997
Cond00187,0.15509887550392912,6.6030650644800275,0.18205952380952375
Cond00188,0.15874476147754027,6.766765533945983,0.19124999999999995
Cond00189,0.17974468087972295,7.289881855505704,0.20810714285714282
Cond00190,0.1718451804199929,7.314088481844775,0.2223690476190476
Cond00191,0.15484819591960203,10.331845233378983,0.18928571428571425
Cond00192,0.1925901219159206,8.695061565916825,0.25734523809523807
Cond00193,0.1955331916617825,9.00473608509426,0.36525
Cond00194,0.17287801967764357,11.258569258898175,0.30228571428571427
Cond00195,0.13163691563657742,6.390444171293033,0.20099999999999996
Cond00196,0.1365339411485463,6.464398514233287,0.20749999999999993
Cond00197,0.13998414638838433,6.43808422068138,0.2047738095238095
Cond00198,0.14927758666263566,6.471308356990857,0.20794047619047618
Cond00199,0.1377175635478666,8.135205412668293,0.20726190476190473
Cond00200,0.13316260865792592,7.996966304979128,0.20344047619047614
Cond00201,0.13042939469808737,8.154711373391033,0.2039047619047619
Cond00202,0.13264280961128344,10.383831269862887,0.21240476190476187
Cond00203,0.17024710837626333,8.92210605389202,0.20364285714285713
