condition,gr,exit_lag_rate,N_max
Cond00167,0.2685343016357356,0.2502306042553086,0.33651928215145793
Cond00168,0.26863950679926457,0.23016068425903363,0.33631081151493736
Cond00169,0.2635067694717424,0.24332910235386432,0.34315904801307406
Cond00170,0.2629727550082925,0.2300580209371792,0.33679389905005697
Cond00171,0.2572749724353614,0.25139606333515085,0.33793732358089745
Cond00172,0.26675876721627384,0.24241714648326784,0.3396594494626292
Cond00173,0.3046122569056856,0.15562610993269763,0.3386535936397879
Cond00174,0.24932494278446318,0.27503883482925806,0.3335209680713472
Cond00175,0.2580243640416057,0.27887964530994225,0.3365478779489003
Cond00176,0.27219734869144796,0.2676772165589482,0.34528483661576204
Cond00177,0.265242277221416,0.24268601406571808,0.34297822173627185
Cond00178,5.023844523719873,8.499554515895184,1.1804337193812906
Cond00179,0.2629001788002306,0.13543597871900007,0.1982215375913467
Cond00180,0.21806528122745406,0.07312296919343103,0.2022893529884586
Cond00181,1.0329415914768094,0.06587756202226387,0.20881433942633698
Cond00182,0.18431844262372835,0.049860339653154805,0.200610208855704
Cond00183,0.2807319794496858,0.05137365001501362,0.19910399627985656
Cond00184,0.2551710798434438,0.05377885606173879,0.19594131749397423
Cond00185,0.21081694761264566,0.06794816896209302,0.19721973086331504
Cond00186,0.1559343794177509,0.04320793130752594,0.18590992353129868
Cond00187,0.13282737862240698,0.3950496072556424,0.18337226552356156
Cond00188,0.12535514788763968,0.39795570968158234,0.19018872342623097
Cond00189,0.18590766598908645,0.20351033341400832,0.20307164885316575
Cond00190,0.2235791393091893,0.25180373176599274,0.21542911874095877
Cond00191,0.14949063140130003,0.06625316587503079,0.18395270871836858
Cond00192,0.28958352248208763,0.05149555460426002,0.2522574830278198
Cond00193,0.3216406647508086,0.059905885270495146,0.3501280057046682
Cond00194,0.44306588808726116,0.011473924520561158,0.2901361746681631
Cond00195,0.20309714987248187,0.17131441323624885,0.19735704407853186
Cond00196,0.24600259625942686,0.13612817499254876,0.2038589764408265
Cond00197,0.22819487225210697,0.15568501472339513,0.20032014276902108
Cond00198,0.22544732034581985,0.16611319104673294,0.20354732874296624
Cond00199,0.30022441026628494,0.04970913759905124,0.19813600691920677
Cond00200,0.2876565726375826,0.044178689174534165,0.1954807042847905
Cond00201,0.2497394480514008,0.05813819838343261,0.19640029624841335
Cond00202,0.19811471692585256,0.03835123922900727,0.2148866442573232
Cond00203,0.18553687835244728,0.0876474702889384,0.1962618478910264
Cond00204,0.18459953323051684,0.09842476270091746,0.20846772600089283
Cond00205,0.20650922464353935,0.11074731731226266,0.2120991846340625
Cond00206,0.24385832836550797,0.09848241696628685,0.25163208073767296
Cond00207,0.1747856638321793,0.09899065220099326,0.1941035116417292
Cond00208,0.18583734338629793,0.07374579449673554,0.19329885950558517
Cond00209,0.17646385103127768,0.09217822782619917,0.19868183191459501
Cond00210,0.17855283288358575,0.10264308876607192,0.20438085605664819
Cond00211,0.2949285104309156,0.06113032897032014,0.19553811384287056
Cond00212,0.23347383153494639,0.07875626368126441,0.19213324224131653
Cond00213,0.30043463195314785,0.07660793423708198,0.19216684770955111
Cond00214,0.23170027881950706,0.06626656437321325,0.19607619737652157
Cond00215,0.20647966388515884,0.05282730973115282,0.20344932067576135
